Date,Open,High,Low,Close,Adj Close,Volume
15-12-2022,162500,165000,162000,162000,145874.8281,383741
16-12-2022,160000,163000,160000,162500,146325.0781,446581
19-12-2022,160500,161500,157500,159000,143173.4531,734465
20-12-2022,158000,158500,154500,157000,141372.5469,1039931
21-12-2022,157000,157500,155500,156000,140472.0625,531850
22-12-2022,156500,159500,156500,158500,142723.2031,452454
23-12-2022,157000,158000,155500,157000,141372.5469,336597
26-12-2022,157000,159000,157000,158000,142273.0156,387872
27-12-2022,158500,160000,157000,158000,142273.0156,637139
28-12-2022,156000,156500,154000,154000,144145.0156,556921
29-12-2022,153000,154000,150500,151000,141336.9844,552974
02-01-2023,154000,161000,154000,157000,146953.0313,1132256
03-01-2023,158500,160500,156000,159000,148825.0313,787752
04-01-2023,157500,161000,157500,160500,150229.0469,463444
05-01-2023,161000,161500,158000,159000,148825.0313,577152
06-01-2023,157500,161500,157500,159500,149293.0313,502420
09-01-2023,161000,164500,160000,164000,153505.0625,614204
10-01-2023,162500,164000,161500,163000,152569.0625,414613
11-01-2023,163500,165000,163000,164000,153505.0625,367725
12-01-2023,166000,168000,164500,166500,155845.0938,869403
13-01-2023,167500,170000,167000,169000,158185.0938,707095
16-01-2023,166500,167500,163500,166500,155845.0938,797353
17-01-2023,166500,167000,164500,166000,155377.0781,452113
18-01-2023,166500,166500,162500,164500,153973.0625,499603
19-01-2023,162000,164000,162000,164000,153505.0625,353522
20-01-2023,163000,164500,163000,164500,153973.0625,296063
25-01-2023,166100,166500,165200,165700,155096.2813,2088
26-01-2023,166600,176200,166600,175100,163894.75,14251
27-01-2023,177000,177600,173300,173900,162771.5313,4005
30-01-2023,174400,175700,169400,173900,162771.5313,3624
31-01-2023,169000,170400,167000,170000,159121.0938,5408
01-02-2023,169200,171500,168700,167000,156313.0781,3251
02-02-2023,171500,172900,169300,169900,159027.5,3621
03-02-2023,170100,174500,169600,169900,159027.5,3940
06-02-2023,174000,174700,170700,172800,161741.9219,1700
07-02-2023,171000,171200,169500,170500,159589.1094,2221
08-02-2023,171500,173000,170200,170500,159589.1094,1223
09-02-2023,171900,174000,171500,172600,161554.7188,3503
10-02-2023,171600,173500,171100,173200,162116.3281,1670
13-02-2023,172700,174300,171300,171600,160618.7188,3230
14-02-2023,172900,175700,172700,173700,162584.3281,1429
15-02-2023,174600,175300,171800,172700,161648.3125,937
16-02-2023,173400,180000,173300,179300,167825.9688,3219
17-02-2023,177400,179800,177000,179000,167545.1563,1647
20-02-2023,179400,179400,176600,178200,166796.3594,1245
21-02-2023,178500,179000,175500,178200,166796.3594,2722
22-02-2023,175800,176900,174000,174200,163052.3594,3595
23-02-2023,174400,178600,174300,176200,164924.3281,3418
24-02-2023,176200,177300,173800,173900,162771.5313,1925
27-02-2023,173100,173600,170200,173300,162209.9375,427027
28-02-2023,174100,178100,174000,176300,165017.9375,824763
02-03-2023,176500,179800,176500,178500,167077.1719,747929
03-03-2023,177500,178200,175000,176100,164830.7344,549203
06-03-2023,177800,178500,176000,177500,166141.1563,547005
07-03-2023,176500,177500,175100,175100,163894.75,462996
08-03-2023,174300,176100,174100,174900,163707.5469,497195
09-03-2023,176600,180400,175700,176300,165017.9375,808110
10-03-2023,174700,176700,174600,175000,163801.1406,443221
13-03-2023,174400,176300,173500,176000,164737.1406,529759
14-03-2023,175200,175900,170500,171000,160057.1094,589581
15-03-2023,172700,175500,172700,174300,163145.9219,481716
16-03-2023,172800,174800,171800,174000,162865.125,392030
17-03-2023,175200,176600,173200,176600,165298.7344,507745
20-03-2023,176500,177000,174800,175100,163894.75,366357
21-03-2023,175900,176900,174800,175800,164549.9375,297779
22-03-2023,177000,180500,176700,180300,168761.9844,718542
23-03-2023,179300,182400,178700,180500,168949.1875,591091
24-03-2023,180600,180600,175300,177700,166328.3594,649952
27-03-2023,177700,177700,174800,176100,164830.7344,402749
28-03-2023,177100,178300,175800,177100,165766.7344,341408
29-03-2023,175800,180700,175800,180400,168855.5781,571771
30-03-2023,179200,181900,178800,181200,169604.375,525981
31-03-2023,182000,184900,181900,184500,172693.1875,668373
03-04-2023,184600,185500,182300,183600,171850.7969,534323
04-04-2023,184000,186500,183300,183800,172038,510739
05-04-2023,185100,187200,184000,186700,174752.4219,509578
06-04-2023,186900,189400,184700,185100,173254.7969,667512
07-04-2023,185400,186500,184600,185100,173254.7969,435717
10-04-2023,186000,188500,184200,185900,174003.6094,480371
11-04-2023,186600,192400,185100,192100,179806.8438,1067237
12-04-2023,195000,199500,194600,198200,185516.5,1517626
13-04-2023,199000,199900,196200,198900,186171.6875,824006
14-04-2023,199500,199700,196000,196100,183550.8594,670548
17-04-2023,195400,196100,193800,195000,182521.2656,497443
18-04-2023,192700,193000,188200,191400,179151.6406,961739
19-04-2023,191400,194200,190300,193600,181210.8594,571094
20-04-2023,193000,194100,191400,192500,180181.2344,423616
21-04-2023,191100,191800,188300,190400,178215.6563,454248
24-04-2023,190600,193100,190600,191900,179619.6563,434584
25-04-2023,193000,201500,191200,201000,188137.2969,2084924
26-04-2023,205500,207500,199900,201500,188605.2969,2214068
27-04-2023,201500,205000,200500,202000,189073.3125,976414
28-04-2023,203000,203500,196200,197500,184861.2813,1056770
02-05-2023,198500,202000,197700,201500,188605.2969,573959
03-05-2023,200500,202000,198500,201000,188137.2969,460771
04-05-2023,200000,201000,197400,199200,186452.5,472704
08-05-2023,201000,203000,200000,202500,189541.3125,590557
09-05-2023,202000,205500,199900,205000,191881.3281,704155
10-05-2023,206000,211000,205000,210000,196561.3594,1476327
11-05-2023,211500,211500,208000,208000,194689.3438,919476
12-05-2023,207000,209500,205500,208500,195157.3594,539737
15-05-2023,207000,209000,204000,208000,194689.3438,594282
16-05-2023,206500,207500,201000,202500,189541.3125,874247
17-05-2023,202500,205500,202500,204500,191413.3281,550297
18-05-2023,207000,207000,205000,206500,193285.3594,476896
19-05-2023,206000,207500,204000,205500,192349.3438,528680
22-05-2023,206000,208500,204500,207500,194221.3438,469209
23-05-2023,209000,209000,207000,207500,194221.3438,356438
24-05-2023,206000,208000,205500,207500,194221.3438,305061
25-05-2023,206000,206500,203000,203500,190477.3281,528730
26-05-2023,204500,205500,201000,205500,192349.3438,596247
30-05-2023,207000,207000,200000,200500,187669.2969,861994
31-05-2023,200500,203000,200000,200000,187201.3125,879887
01-06-2023,199800,199800,196300,197500,184861.2813,791585
02-06-2023,198500,199800,198100,199500,186733.2969,418613
05-06-2023,201500,203500,200000,201000,188137.2969,454150
07-06-2023,202500,203000,195400,196400,183831.6719,960900
08-06-2023,195500,197200,194000,196700,184112.4844,928559
09-06-2023,197400,198300,196300,197100,184486.8594,421616
12-06-2023,197500,198500,195100,196200,183644.4688,429448
13-06-2023,196700,198200,196200,198000,185329.2969,474628
